study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB14744	SAMEA4082839	ERS1253949	ERX1606302	ERR1535474	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535474/ERR1535474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535474/ERR1535474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535474	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535474		
PRJEB14744	SAMEA4082840	ERS1253950	ERX1606303	ERR1535475	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535475/ERR1535475.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535475/ERR1535475.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535475	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535475		
PRJEB14744	SAMEA4082841	ERS1253951	ERX1606304	ERR1535476	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535476/ERR1535476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535476/ERR1535476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535476	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535476		
PRJEB14744	SAMEA4082842	ERS1253952	ERX1606305	ERR1535477	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535477/ERR1535477.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535477/ERR1535477.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535477	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535477		
PRJEB14744	SAMEA4082843	ERS1253953	ERX1606306	ERR1535478	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535478/ERR1535478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535478/ERR1535478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535478	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535478		
PRJEB14744	SAMEA4082844	ERS1253954	ERX1606307	ERR1535479	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535479/ERR1535479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535479/ERR1535479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx4_ESP_TGGTAG20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535479	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535479		
PRJEB14744	SAMEA4082845	ERS1253955	ERX1606308	ERR1535480	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535480/ERR1535480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535480/ERR1535480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535480	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535480		
PRJEB14744	SAMEA4082846	ERS1253956	ERX1606309	ERR1535481	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535481/ERR1535481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535481/ERR1535481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535481	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535481		
PRJEB14744	SAMEA4082847	ERS1253957	ERX1606310	ERR1535482	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535482/ERR1535482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535482/ERR1535482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535482	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535482		
PRJEB14744	SAMEA4082848	ERS1253958	ERX1606311	ERR1535483	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535483/ERR1535483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535483/ERR1535483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX4_ESW_TGTGTC20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535483	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535483		
PRJEB14744	SAMEA4082849	ERS1253959	ERX1606312	ERR1535484	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535484/ERR1535484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535484/ERR1535484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535484	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535484		
PRJEB14744	SAMEA4082850	ERS1253960	ERX1606313	ERR1535485	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535485/ERR1535485.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535485/ERR1535485.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535485	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535485		
PRJEB14744	SAMEA4082851	ERS1253961	ERX1606314	ERR1535486	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535486/ERR1535486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535486/ERR1535486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535486	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535486		
PRJEB14744	SAMEA4082852	ERS1253962	ERX1606315	ERR1535487	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535487/ERR1535487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535487/ERR1535487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAD_TCTTCT20NCTG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535487	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535487		
PRJEB14744	SAMEA4082853	ERS1253963	ERX1606316	ERR1535488	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535488/ERR1535488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535488/ERR1535488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535488	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535488		
PRJEB14744	SAMEA4082854	ERS1253964	ERX1606317	ERR1535489	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535489/ERR1535489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535489/ERR1535489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535489	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535489		
PRJEB14744	SAMEA4082855	ERS1253965	ERX1606318	ERR1535490	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535490/ERR1535490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535490/ERR1535490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535490	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535490		
PRJEB14744	SAMEA4082856	ERS1253966	ERX1606319	ERR1535491	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535491/ERR1535491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535491/ERR1535491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/AR_ESAF_TGCTCG20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535491	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535491		
PRJEB14744	SAMEA4082857	ERS1253967	ERX1606320	ERR1535492	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535492/ERR1535492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535492/ERR1535492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535492	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535492		
PRJEB14744	SAMEA4082858	ERS1253968	ERX1606321	ERR1535493	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535493/ERR1535493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535493/ERR1535493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535493	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535493		
PRJEB14744	SAMEA4082859	ERS1253969	ERX1606322	ERR1535494	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535494/ERR1535494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535494/ERR1535494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535494	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535494		
PRJEB14744	SAMEA4082860	ERS1253970	ERX1606323	ERR1535495	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535495/ERR1535495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535495/ERR1535495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Ar_ESP_TCTAAT20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535495	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535495		
PRJEB14744	SAMEA4082861	ERS1253971	ERX1606324	ERR1535496	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535496/ERR1535496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535496/ERR1535496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535496	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535496		
PRJEB14744	SAMEA4082862	ERS1253972	ERX1606325	ERR1535497	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535497/ERR1535497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535497/ERR1535497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535497	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535497		
PRJEB14744	SAMEA4082863	ERS1253973	ERX1606326	ERR1535498	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535498/ERR1535498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535498/ERR1535498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535498	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535498		
PRJEB14744	SAMEA4082864	ERS1253974	ERX1606327	ERR1535499	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535499/ERR1535499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535499/ERR1535499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ARNTL_ESW_TCAAAA20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535499	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535499		
